"vendor","delivery_day","share_type","total","size_unit"
"Casa de Comer Foods","LA","Cilantro Lime and Pepita Salsa",12,"oz"
"Casa de Comer Foods","LA","Taquera Salsa",NA,"oz"
"Casa de Comer Foods","Thursday","Cilantro Lime and Pepita Salsa",12,"oz"
"Casa de Comer Foods","Thursday","Mango Salsa",12,"oz"
"Casa de Comer Foods","Wednesday","Cilantro Lime and Pepita Salsa",24,"oz"
"Deux Bakery","LA","Sourdough",1,"ea"
"Deux Bakery","Thursday","Demi Baguettes ()",2,"ea"
"Deux Bakery","Thursday","Gluten Free Loaf",NA,"ea"
"Deux Bakery","Thursday","Multigrain Sourdough",1,"ea"
"Deux Bakery","Thursday","Sourdough",2,"ea"
"Deux Bakery","Tuesday","Everything Bagels ()",4,"ea"
"Deux Bakery","Tuesday","Multigrain Sourdough",1,"ea"
"Deux Bakery","Wednesday","Demi Baguettes ()",2,"ea"
"Deux Bakery","Wednesday","Everything Bagels ()",12,"ea"
"Deux Bakery","Wednesday","Multigrain Sourdough",1,"ea"
"Deux Bakery","Wednesday","Sourdough",1,"ea"
"L.A. Lepiane Wines","LA","2019 Happy Canyon Rose of Nebbiolo",NA,NA
"T.W. Hollister &amp; Co.","LA","Dry Vermouth",NA,NA
"T.W. Hollister &amp; Co.","LA","Red Vermouth",NA,NA
